word length 3
top 50 O/E
word,O/E,obs,E
ZYB,5.3766224687834256,2,0.37198073913724916
bottom 50 O/E
word,O/E,obs,E
EOY,0.12504529729442793,1,7.997102023320636
UOO,0.12504495017155018,1,7.9971242231540884
SLS,0.12504382244180068,1,7.9971963466282503
TUI,0.12504300426774376,1,7.9972486734146813
AEG,0.12504240938464395,1,7.9972867199310924
NLS,0.12504143942872523,1,7.997348755490048
NNL,0.12503916768922663,1,7.9974940531066894
NLN,0.12503916768922663,1,7.9974940531066894
AEW,0.12503419127240445,1,7.9978123569525108
EUH,0.12502851113380656,1,7.9981757035384637
MTT,0.12502009079278012,1,7.9987143958925175
RHS,0.12501788585139778,1,7.9988554692777942
HNR,0.12501678705552566,1,7.9989257727112628
LRT,0.1250117220408665,1,7.9992498597299431
SDT,0.12501154834729938,1,7.9992609740490668
HSN,0.12500778167576734,1,7.9995020037528519
HNN,0.12500725303782337,1,7.9995358325122989
NNH,0.12500725303782337,1,7.9995358325122989
NRR,0.12500625674712756,1,7.9995995882260384
TLS,0.1250052413286408,1,7.99966456903182
OHR,0.12500511414183249,1,7.9996727083132502
TNL,0.12500486917745024,1,7.9996883847816624
EUI,0.12500365218918072,1,7.9997662667215392
EHL,0.12500215871878223,1,7.999861844383851
RHT,0.12500161005802063,1,7.9998969576139141
TRH,0.12500161005802063,1,7.9998969576139141
IIR,0.125001393385552,1,7.9999108243187207
AIH,0.12500132516050452,1,7.9999151906267985
OEU,0.12500117824903134,1,7.999924592772782
UOE,0.12500117824903134,1,7.999924592772782
AUE,0.12500106242615799,1,7.9999320053038039
UAE,0.12500106242615799,1,7.9999320053038039
SNN,0.12500092620588149,1,7.9999407232628048
TDT,0.12500090495739632,1,7.9999420831459336
AOH,0.12500037732459229,1,7.9999758512989878
AAH,0.1250003363671614,1,7.9999784725595999
EHH,0.12500019502619347,1,7.9999875183430911
TRN,0.12500012871434238,1,7.9999917622905707
NRT,0.12500012871434238,1,7.9999917622905707
EHR,0.12500004092065714,1,7.9999973810788001
TNS,0.125000036575317,1,7.999997659180397
TNN,0.12500003259691414,1,7.9999979137980395
AOI,0.12500001387607304,1,7.999999111931424
EUE,0.1250000042219811,1,7.9999997297932195
AOO,0.12500000224753458,1,7.999999856157789
OAO,0.12500000224753458,1,7.999999856157789
OAA,0.12500000190261501,1,7.9999998782326411
OEH,0.12500000086299035,1,7.9999999447686179
IOE,0.12500000000537573,1,7.9999999996559543
OAE,0.12500000000025088,1,7.9999999999839444

word length 4
top 50 O/E
word,O/E,obs,E
HQXZ,5546.1053378253455,1,0.00018030670877811072
UZZL,3356.4640101609089,5,0.0014896629264796735
QXZT,3325.8438442294432,1,0.00030067557192592353
PKXZ,2284.4024068749936,1,0.00043775124601097559
BUZZ,1860.7320405468408,1,0.00053742289497316076
ZBUZ,1860.7320405468408,1,0.00053742289497316076
ZZBU,1860.7320405468408,1,0.00053742289497316076
UZZB,1860.7320405468408,1,0.00053742289497316076
ZZYM,1669.7776580322684,1,0.00059888212971925814
CKQQ,1557.1504139160172,1,0.00064219871828896657
KQQU,1529.4116325501259,1,0.00065384621034469959
UZZY,1456.3850573857419,1,0.00068663159851078959
UZZP,1453.1409782009214,1,0.00068816447612540799
YQQU,1346.6884769675826,2,0.0014851244621202353
ZIGZ,1290.9509017061982,2,0.0015492455966812368
FUZZ,1249.4567219350399,1,0.00080034784914462254
MUZZ,1060.909733305964,1,0.00094258726129681225
ZZLE,1006.5886756327811,6,0.005960726705203756
IZZL,892.50231103990825,3,0.0033613358339705801
MAZZ,824.80837042026553,2,0.0024248056539253326
ZZOB,730.81465180663099,1,0.0013683360035652292
PQQU,671.84455425176429,1,0.0014884395410686979
UPQQ,671.84455425176429,1,0.0014884395410686979
ZZYI,645.37772691924476,1,0.0015494801854621931
IZZY,645.37772691924476,1,0.0015494801854621931
KXZI,644.60721116349362,1,0.0015513323194058515
PIZZ,643.94029128894329,1,0.0015529390124018327
RIZZ,625.40593409881535,3,0.004796884449654093
ZZLI,595.0015406932722,2,0.0033613358339705801
GOZZ,572.10281209193454,1,0.001747937571471514
ZZOG,572.10281209193454,1,0.001747937571471514
YOZZ,572.01622726796188,1,0.0017482021528937297
ZZPO,570.74216505061941,1,0.0017521046476587365
BYXX,566.30225075164674,1,0.0017658414718866311
ZZAP,564.8552596251775,1,0.0017703650323864784
QUIZ,557.6906736038062,2,0.0035862174044904993
ZZAW,547.97549228661399,1,0.0018248991315782392
LPQQ,487.40362409658013,1,0.0020516876579519394
RUZZ,470.36424464738957,1,0.0021260119394271859
MIZZ,470.14137496891919,1,0.0021270197715870243
ZZEB,464.90495818793698,1,0.0021509772747911882
ZZIC,417.50277261583375,1,0.0023951936743666913
MOZZ,416.70202419234766,1,0.0023997963579327486
ZZAM,412.40418521013277,1,0.0024248056539253326
UIZZ,410.06667382412644,1,0.0024386278228230029
UZZI,410.06667382412644,1,0.0024386278228230029
IZMJ,397.39097578450162,1,0.0025164134591276754
JAWJ,391.50590573338604,1,0.0025542398859265125
XQUI,367.97669885876201,3,0.008152690127674278
ZZAR,365.74595249663952,2,0.0054682765081819351
bottom 50 O/E
word,O/E,obs,E
OETA,0.12792673266130761,1,7.8169744446420735
TEAO,0.12792673266130761,1,7.8169744446420735
TEAA,0.12785288663474723,1,7.8214894189821518
ETAA,0.12785288663474723,1,7.8214894189821518
AETA,0.12785288663474723,1,7.8214894189821518
EAAT,0.12785288663474723,1,7.8214894189821518
AATE,0.12785288663474723,1,7.8214894189821518
AEAT,0.12785288663474723,1,7.8214894189821518
ATAE,0.12785288663474723,1,7.8214894189821518
ESIE,0.1276804920945282,1,7.8320500148108021
SEIE,0.1276804920945282,1,7.8320500148108021
NEIE,0.12762230914915809,1,7.8356206424008032
NIEE,0.12762230914915809,1,7.8356206424008032
IEEN,0.12762230914915809,1,7.8356206424008032
EOER,0.12753847109647237,1,7.840771426870738
REOE,0.12753847109647237,1,7.840771426870738
OEER,0.12753847109647237,1,7.840771426870738
OERE,0.12753847109647237,1,7.840771426870738
EAER,0.12747115001029924,1,7.8449123579665159
EIIE,0.12743172134948438,1,7.847339653032523
