word length 3
top 50 Observation
word,O/E,obs,E
YBUT,7.412539129802906,8,1.0792523128593203
UPWI,7.204857744506457,8,1.1103619646203038
LLBU,7.1933558198954328,8,1.1121373946042743
NUMB,7.1544063613663305,8,1.1181920058664629
LACK,6.9985975429544691,8,1.1430861613200847
VING,6.9883491227930836,8,1.1447624981853486
INGV,6.9883491227930836,8,1.1447624981853486
LYWH,6.8549115128843869,8,1.1670464286757491
GIVI,6.8084531716920447,8,1.1750099175627922
ABOV,6.7669018358070208,8,1.1822249227361401
KNOW,6.6910532786508305,8,1.195626408405031
KFOR,6.6161285253560518,8,1.2091663530024115
LYPR,6.2973185663696247,8,1.2703819753892431
ABLY,6.1817599137712103,8,1.2941298451559509
DBYT,6.0754526482080617,8,1.3167743151384084
KWIT,5.8277346837412454,8,1.3727460898862025
KILL,5.8236907141204686,8,1.37369932448554
ULLY,5.7907668637792984,8,1.3815095976388285
LLYU,5.7907668637792984,8,1.3815095976388285
bottom 50 Observation
word,O/E,obs,E
OETA,0.12792673266130761,1,7.8169744446420735
TEAO,0.12792673266130761,1,7.8169744446420735
TEAA,0.12785288663474723,1,7.8214894189821518
ETAA,0.12785288663474723,1,7.8214894189821518
AETA,0.12785288663474723,1,7.8214894189821518
EAAT,0.12785288663474723,1,7.8214894189821518
AATE,0.12785288663474723,1,7.8214894189821518
AEAT,0.12785288663474723,1,7.8214894189821518
ATAE,0.12785288663474723,1,7.8214894189821518
ESIE,0.1276804920945282,1,7.8320500148108021
SEIE,0.1276804920945282,1,7.8320500148108021
NEIE,0.12762230914915809,1,7.8356206424008032
NIEE,0.12762230914915809,1,7.8356206424008032
IEEN,0.12762230914915809,1,7.8356206424008032
EOER,0.12753847109647237,1,7.840771426870738
REOE,0.12753847109647237,1,7.840771426870738
OEER,0.12753847109647237,1,7.840771426870738
OERE,0.12753847109647237,1,7.840771426870738
EAER,0.12747115001029924,1,7.8449123579665159
EIIE,0.12743172134948438,1,7.847339653032523
EOTT,0.12716155811368229,1,7.8640118510186952
OETT,0.12716155811368229,1,7.8640118510186952
TTEO,0.12716155811368229,1,7.8640118510186952
AETT,0.12710104373573192,1,7.8677560042637955
TTAE,0.12710104373573192,1,7.8677560042637955
EEEL,0.12695619962653878,1,7.876732313519577
EOSE,0.12694113331496679,1,7.8776671823056477
SOEE,0.12694113331496679,1,7.8776671823056477
OENE,0.1268941840035088,1,7.8805818237686029
AESE,0.12688485499078697,1,7.8811612313590098
EAES,0.12688485499078697,1,7.8811612313590098
ESAE,0.12688485499078697,1,7.8811612313590098
ENAE,0.12683883534152293,1,7.8840206732222518
AENE,0.12683883534152293,1,7.8840206732222518
EEAI,0.12668893572951104,1,7.8933491250969521
EEIA,0.12668893572951104,1,7.8933491250969521
IEEA,0.12668893572951104,1,7.8933491250969521
