word length 3
top 50 O/E
word,O/E,obs,E
ROQU,1436.0495585344784,83,0.05779744821947748
GOZZ,1425.802756292032,2,0.0014027185676097553
RJJU,1419.8358353625645,1,0.0007043067762440602
JJUR,1419.8358353625642,1,0.0007043067762440603
JUIC,1305.2008337884602,31,0.023751134076446898
QUIZ,1296.1352266281228,2,0.0015430488724567507
TYQQ,1157.624765923276,1,0.0008638377732031669
QUAL,1155.1609734236183,56,0.04847809204809743
WITZ,1141.365621589442,60,0.05256860629501461
RUZZ,1124.1121691828712,2,0.0017791818777781053
JULY,1112.5289549528638,8,0.007190824080923761
ZZAP,1077.3088426080672,2,0.0018564778463696454
UZZI,1054.6759401209506,2,0.0018963170808377779
YMIX,972.7105848237851,18,0.018504990364899603
VQUE,967.2836377943643,13,0.013439698028639332
EVQU,967.2836377943642,13,0.013439698028639334
JUST,909.4538003706735,50,0.05497805383805213
JIGG,903.5028774537149,9,0.00996123003544176
YOZZ,871.9321969083134,1,0.0011468781672999207
VZUB,859.1054723978374,2,0.002328002863743642
JJAC,847.4015679295397,1,0.0011800780619786965
XTUR,842.5227683739241,67,0.07952307345866813
ZZAS,838.1128215719634,5,0.0059657839270636686
IZMJ,793.1654560009624,1,0.0012607709935350318
ZZOB,790.4985565110348,1,0.0012650244478796093
OQUE,789.8886899579791,91,0.11520610581832874
WITH,764.6778160449298,1078,1.4097440482524217
ZZOG,712.9013781460161,1,0.001402718567609755
DJJA,710.8433355504627,1,0.0014067797361082667
MIXT,703.3998817116077,63,0.08956498520684975
FLAV,700.7800093144069,166,0.2368789032130105
bottom 50 O/E
word,O/E,obs,E
TTIE,0.054928654047382244,1,18.205434255450456
ATEE,0.054542273401093536,2,36.66880522732119
TSET,0.054136274045904674,1,18.471902945371774
STTE,0.05413627404590466,1,18.471902945371777
TOET,0.05402188149641516,1,18.511017615451973
EELT,0.052890801777903645,1,18.906879199887136
DEEA,0.052189398169209,1,19.160979721547847
EAIT,0.05100109048321673,1,19.607423890849486
